2021-04-09 09:47:12.017893 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018180 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018325 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018457 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018590 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018719 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018850 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018975 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019102 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019222 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019346 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019469 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019593 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019717 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019841 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019965 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020089 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020214 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020340 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020460 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:27.660886 CEST | StdReturn                   54.1147
2021-04-09 09:47:27.661052 CEST | MaxReturn                  259.869
2021-04-09 09:47:27.661213 CEST | MinReturn                    9.98618
2021-04-09 09:47:27.661381 CEST | Iteration                    0
2021-04-09 09:47:27.661549 CEST | AverageDiscountedReturn     65.3155
2021-04-09 09:47:27.661720 CEST | AverageReturn               69.1784
2021-04-09 09:47:27.661892 CEST | ExplainedVariance            0.0695527
2021-04-09 09:47:27.662043 CEST | NumTrajs                    51
2021-04-09 09:47:27.662189 CEST | Entropy                      1.41894
2021-04-09 09:47:27.662343 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.662503 CEST | StdReturn                   63.7186
2021-04-09 09:47:27.662650 CEST | MaxReturn                  299.904
2021-04-09 09:47:27.662803 CEST | MinReturn                    0
2021-04-09 09:47:27.662958 CEST | Iteration                    0
2021-04-09 09:47:27.663106 CEST | AverageDiscountedReturn     68.0752
2021-04-09 09:47:27.663259 CEST | AverageReturn               71.3543
2021-04-09 09:47:27.663413 CEST | ExplainedVariance            0.174576
2021-04-09 09:47:27.663569 CEST | NumTrajs                    50
2021-04-09 09:47:27.663714 CEST | Entropy                      1.41894
2021-04-09 09:47:27.663871 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.664028 CEST | StdReturn                   49.1724
2021-04-09 09:47:27.664178 CEST | MaxReturn                  169.931
2021-04-09 09:47:27.664339 CEST | MinReturn                    9.98267
2021-04-09 09:47:27.664576 CEST | Iteration                    0
2021-04-09 09:47:27.664743 CEST | AverageDiscountedReturn     77.2432
2021-04-09 09:47:27.664907 CEST | AverageReturn               83.6728
2021-04-09 09:47:27.665054 CEST | ExplainedVariance           -0.0478531
2021-04-09 09:47:27.665210 CEST | NumTrajs                    43
2021-04-09 09:47:27.665381 CEST | Entropy                      1.41894
2021-04-09 09:47:27.665542 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.665745 CEST | StdReturn                   88.8707
2021-04-09 09:47:27.665932 CEST | MaxReturn                  479.893
2021-04-09 09:47:27.666123 CEST | MinReturn                    9.98251
2021-04-09 09:47:27.666290 CEST | Iteration                    0
2021-04-09 09:47:27.666447 CEST | AverageDiscountedReturn     74.2025
2021-04-09 09:47:27.666592 CEST | AverageReturn               79.2986
2021-04-09 09:47:27.666746 CEST | ExplainedVariance           -0.516984
2021-04-09 09:47:27.666896 CEST | NumTrajs                    46
2021-04-09 09:47:27.667061 CEST | Entropy                      1.41894
2021-04-09 09:47:27.667219 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.667383 CEST | StdReturn                   73.228
2021-04-09 09:47:27.667539 CEST | MaxReturn                  329.841
2021-04-09 09:47:27.667695 CEST | MinReturn                    0
2021-04-09 09:47:27.667876 CEST | Iteration                    0
2021-04-09 09:47:27.668031 CEST | AverageDiscountedReturn     69.7575
2021-04-09 09:47:27.668198 CEST | AverageReturn               73.6284
2021-04-09 09:47:27.668361 CEST | ExplainedVariance            0.15924
2021-04-09 09:47:27.668514 CEST | NumTrajs                    49
2021-04-09 09:47:27.668678 CEST | Entropy                      1.41894
2021-04-09 09:47:27.668840 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.668989 CEST | StdReturn                   58.5921
2021-04-09 09:47:27.669146 CEST | MaxReturn                  259.892
2021-04-09 09:47:27.669303 CEST | MinReturn                    9.98763
2021-04-09 09:47:27.669464 CEST | Iteration                    0
2021-04-09 09:47:27.669623 CEST | AverageDiscountedReturn     62.2842
2021-04-09 09:47:27.669785 CEST | AverageReturn               65.6998
2021-04-09 09:47:27.669994 CEST | ExplainedVariance            0.0587362
2021-04-09 09:47:27.670149 CEST | NumTrajs                    54
2021-04-09 09:47:27.670311 CEST | Entropy                      1.41894
2021-04-09 09:47:27.670476 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.670642 CEST | StdReturn                   59.5572
2021-04-09 09:47:27.670809 CEST | MaxReturn                  319.883
2021-04-09 09:47:27.670968 CEST | MinReturn                    0
2021-04-09 09:47:27.671124 CEST | Iteration                    0
2021-04-09 09:47:27.671283 CEST | AverageDiscountedReturn     73.4485
2021-04-09 09:47:27.671433 CEST | AverageReturn               77.3482
2021-04-09 09:47:27.671598 CEST | ExplainedVariance            0.137182
2021-04-09 09:47:27.671758 CEST | NumTrajs                    46
2021-04-09 09:47:27.671921 CEST | Entropy                      1.41894
2021-04-09 09:47:27.672088 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.672250 CEST | StdReturn                   54.0528
2021-04-09 09:47:27.672408 CEST | MaxReturn                  219.9
2021-04-09 09:47:27.672579 CEST | MinReturn                    9.98024
2021-04-09 09:47:27.672741 CEST | Iteration                    0
2021-04-09 09:47:27.672899 CEST | AverageDiscountedReturn     67.2577
2021-04-09 09:47:27.673059 CEST | AverageReturn               70.5556
2021-04-09 09:47:27.673218 CEST | ExplainedVariance            0.213952
2021-04-09 09:47:27.673381 CEST | NumTrajs                    50
2021-04-09 09:47:27.673540 CEST | Entropy                      1.41894
2021-04-09 09:47:27.673695 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.673883 CEST | StdReturn                   51.0656
2021-04-09 09:47:27.674046 CEST | MaxReturn                  249.821
2021-04-09 09:47:27.674202 CEST | MinReturn                    9.98058
2021-04-09 09:47:27.674364 CEST | Iteration                    0
2021-04-09 09:47:27.674520 CEST | AverageDiscountedReturn     62.0578
2021-04-09 09:47:27.674687 CEST | AverageReturn               65.1359
2021-04-09 09:47:27.674836 CEST | ExplainedVariance            0.0927191
2021-04-09 09:47:27.675002 CEST | NumTrajs                    56
2021-04-09 09:47:27.675156 CEST | Entropy                      1.41894
2021-04-09 09:47:27.675318 CEST | Perplexity                   4.13273
2021-04-09 09:47:27.675483 CEST | StdReturn                   53.2637
2021-04-09 09:47:27.675641 CEST | MaxReturn                  269.929
2021-04-09 09:47:27.675801 CEST | MinReturn                    0
2021-04-09 09:47:27.675959 CEST | AveragePolicyStd             1
2021-04-09 09:47:27.676126 CEST | AveragePolicyStd             1
2021-04-09 09:47:27.676274 CEST | AveragePolicyStd             1
2021-04-09 09:47:27.676440 CEST | AveragePolicyStd             1
2021-04-09 09:47:27.676600 CEST | AveragePolicyStd             1
