2021-04-09 10:41:19.032099 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.032381 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.032506 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.032625 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.032740 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.032850 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.032964 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.033074 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.033185 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.033294 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.033402 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.033510 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.033619 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.033727 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.033839 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.033972 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.034083 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.034193 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:19.034303 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populating workers...
2021-04-09 10:41:19.034412 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] Populated
2021-04-09 10:41:23.739155 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #0 | fitting baseline...
2021-04-09 10:41:23.740538 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #0 | fitted
2021-04-09 10:41:28.487233 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.488516 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.492103 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.493681 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.496737 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.498045 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.501128 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.502558 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.505895 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.507236 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.510802 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.512179 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.515770 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.517233 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.520931 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.522479 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.525732 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.527109 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:28.530352 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitting baseline...
2021-04-09 10:41:28.531637 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #1 | fitted
2021-04-09 10:41:30.033188 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.034093 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.036171 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.037029 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.039175 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.040074 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.042412 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.043411 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.045855 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.046896 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.049162 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.050111 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.052095 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.052969 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.055452 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.056713 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.058565 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.059347 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:30.061304 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitting baseline...
2021-04-09 10:41:30.062151 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #2 | fitted
2021-04-09 10:41:31.601235 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.602552 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.605106 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.606296 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.608849 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.610176 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.615145 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.617588 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.621077 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.622460 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.625330 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.626643 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.629417 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.630742 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.633688 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.635043 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.637521 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.638596 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:31.641500 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitting baseline...
2021-04-09 10:41:31.642748 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #3 | fitted
2021-04-09 10:41:33.195657 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.196528 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.198097 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.198785 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.200112 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.200696 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.201913 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.202484 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.203955 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.204589 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.206318 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.207065 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.208471 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.209113 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.210677 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.211349 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.213012 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.213742 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:33.215225 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitting baseline...
2021-04-09 10:41:33.215883 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #4 | fitted
2021-04-09 10:41:34.826358 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.827076 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.828441 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.829064 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.830320 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.830866 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.832002 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.832527 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.833765 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.834375 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.835950 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.836646 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.837883 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.838466 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.839879 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.840514 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.841981 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.842632 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.844032 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitting baseline...
2021-04-09 10:41:34.844653 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | fitted
2021-04-09 10:41:34.878234 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | saving snapshot...
2021-04-09 10:41:34.884264 CEST | [multi_agent_per_av_returns_part_bits_rep_2021_04_09_10_16_24_0017] itr #5 | saved
2021-04-09 10:41:34.910238 CEST | -----------------------  ---------------
2021-04-09 10:41:34.910478 CEST | Iteration                    0
2021-04-09 10:41:34.910624 CEST | AverageDiscountedReturn     52.9465
2021-04-09 10:41:34.910766 CEST | AverageReturn               54.8862
2021-04-09 10:41:34.910907 CEST | ExplainedVariance            8.69527e-12
2021-04-09 10:41:34.911046 CEST | NumTrajs                    63
2021-04-09 10:41:34.911185 CEST | Entropy                      1.41894
2021-04-09 10:41:34.911324 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.911461 CEST | StdReturn                   39.0955
2021-04-09 10:41:34.911601 CEST | MaxReturn                  159.911
2021-04-09 10:41:34.911736 CEST | MinReturn                    9.98342
2021-04-09 10:41:34.911871 CEST | Iteration                    0
2021-04-09 10:41:34.912007 CEST | AverageDiscountedReturn     57.3343
2021-04-09 10:41:34.912143 CEST | AverageReturn               59.617
2021-04-09 10:41:34.912282 CEST | ExplainedVariance            0.266781
2021-04-09 10:41:34.912417 CEST | NumTrajs                    58
2021-04-09 10:41:34.912556 CEST | Entropy                      1.41894
2021-04-09 10:41:34.912694 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.912830 CEST | StdReturn                   41.8774
2021-04-09 10:41:34.912965 CEST | MaxReturn                  199.899
2021-04-09 10:41:34.913100 CEST | MinReturn                    9.98125
2021-04-09 10:41:34.913233 CEST | Iteration                    0
2021-04-09 10:41:34.913368 CEST | AverageDiscountedReturn     57.2487
2021-04-09 10:41:34.913502 CEST | AverageReturn               59.7923
2021-04-09 10:41:34.913637 CEST | ExplainedVariance            0.0851833
2021-04-09 10:41:34.913773 CEST | NumTrajs                    58
2021-04-09 10:41:34.913926 CEST | Entropy                      1.41894
2021-04-09 10:41:34.914061 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.914195 CEST | StdReturn                   48.1379
2021-04-09 10:41:34.914335 CEST | MaxReturn                  239.913
2021-04-09 10:41:34.914470 CEST | MinReturn                    0
2021-04-09 10:41:34.914606 CEST | Iteration                    0
2021-04-09 10:41:34.914741 CEST | AverageDiscountedReturn     52.4959
2021-04-09 10:41:34.914877 CEST | AverageReturn               55.202
2021-04-09 10:41:34.915013 CEST | ExplainedVariance           -0.147215
2021-04-09 10:41:34.915149 CEST | NumTrajs                    63
2021-04-09 10:41:34.915286 CEST | Entropy                      1.41894
2021-04-09 10:41:34.915423 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.915562 CEST | StdReturn                   56.9047
2021-04-09 10:41:34.915699 CEST | MaxReturn                  329.88
2021-04-09 10:41:34.915835 CEST | MinReturn                    0
2021-04-09 10:41:34.915972 CEST | Iteration                    0
2021-04-09 10:41:34.916109 CEST | AverageDiscountedReturn     54.0007
2021-04-09 10:41:34.916261 CEST | AverageReturn               55.9326
2021-04-09 10:41:34.916398 CEST | ExplainedVariance           -0.0364753
2021-04-09 10:41:34.916534 CEST | NumTrajs                    62
2021-04-09 10:41:34.916670 CEST | Entropy                      1.41894
2021-04-09 10:41:34.916805 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.916941 CEST | StdReturn                   37.4238
2021-04-09 10:41:34.917078 CEST | MaxReturn                  169.894
2021-04-09 10:41:34.917213 CEST | MinReturn                    0
2021-04-09 10:41:34.917348 CEST | Iteration                    0
2021-04-09 10:41:34.917483 CEST | AverageDiscountedReturn     58.0652
2021-04-09 10:41:34.917618 CEST | AverageReturn               60.488
2021-04-09 10:41:34.917751 CEST | ExplainedVariance            0.198898
2021-04-09 10:41:34.917906 CEST | NumTrajs                    57
2021-04-09 10:41:34.918045 CEST | Entropy                      1.41894
2021-04-09 10:41:34.918181 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.918315 CEST | StdReturn                   44.1636
2021-04-09 10:41:34.918452 CEST | MaxReturn                  169.95
2021-04-09 10:41:34.918586 CEST | MinReturn                    0
2021-04-09 10:41:34.918723 CEST | Iteration                    0
2021-04-09 10:41:34.918859 CEST | AverageDiscountedReturn     57.7952
2021-04-09 10:41:34.918994 CEST | AverageReturn               60.3039
2021-04-09 10:41:34.919130 CEST | ExplainedVariance            0.0876922
2021-04-09 10:41:34.919266 CEST | NumTrajs                    59
2021-04-09 10:41:34.919403 CEST | Entropy                      1.41894
2021-04-09 10:41:34.919538 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.919722 CEST | StdReturn                   46.5921
2021-04-09 10:41:34.919863 CEST | MaxReturn                  219.901
2021-04-09 10:41:34.919998 CEST | MinReturn                    9.9824
2021-04-09 10:41:34.920134 CEST | Iteration                    0
2021-04-09 10:41:34.920268 CEST | AverageDiscountedReturn     58.4355
2021-04-09 10:41:34.920404 CEST | AverageReturn               60.8048
2021-04-09 10:41:34.920539 CEST | ExplainedVariance            0.196897
2021-04-09 10:41:34.920672 CEST | NumTrajs                    59
2021-04-09 10:41:34.920807 CEST | Entropy                      1.41894
2021-04-09 10:41:34.920942 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.921077 CEST | StdReturn                   42.4956
2021-04-09 10:41:34.921211 CEST | MaxReturn                  189.945
2021-04-09 10:41:34.921346 CEST | MinReturn                    9.97995
2021-04-09 10:41:34.921480 CEST | Iteration                    0
2021-04-09 10:41:34.921614 CEST | AverageDiscountedReturn     72.8085
2021-04-09 10:41:34.921750 CEST | AverageReturn               77.1265
2021-04-09 10:41:34.921906 CEST | ExplainedVariance           -0.907041
2021-04-09 10:41:34.922044 CEST | NumTrajs                    46
2021-04-09 10:41:34.922181 CEST | Entropy                      1.41894
2021-04-09 10:41:34.922319 CEST | Perplexity                   4.13273
2021-04-09 10:41:34.922454 CEST | StdReturn                   62.7829
2021-04-09 10:41:34.922590 CEST | MaxReturn                  309.747
2021-04-09 10:41:34.922727 CEST | MinReturn                    9.982
