2021-04-08 16:01:16.246977 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247283 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247416 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247539 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247661 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247788 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247908 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248029 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248167 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248293 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248427 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248559 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248681 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248797 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248914 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249030 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249147 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249274 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249405 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249531 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:20.576457 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitting baseline...
2021-04-08 16:01:20.577853 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #0 | fitted
2021-04-08 16:01:25.262797 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.264125 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.266332 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.267319 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.269878 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.270922 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.273777 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.274991 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.277542 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.278609 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.281367 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.282587 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.285069 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.286138 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.288931 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.290184 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.293011 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.294427 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:25.297183 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitting baseline...
2021-04-08 16:01:25.298281 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #1 | fitted
2021-04-08 16:01:26.820565 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.821648 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.824258 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.825420 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.828102 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.829125 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.831258 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.832138 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.834304 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.835281 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.837849 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.838892 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.841404 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.842401 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.844169 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.844920 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.847412 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.848405 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:26.850934 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitting baseline...
2021-04-08 16:01:26.852202 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #2 | fitted
2021-04-08 16:01:28.336807 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.338028 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.340493 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.341483 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.343591 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.344467 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.346673 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.347682 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.349798 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.350935 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.352950 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.353896 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.356382 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.357499 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.359943 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.360940 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.363078 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.364001 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:28.366245 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitting baseline...
2021-04-08 16:01:28.367231 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #3 | fitted
2021-04-08 16:01:29.821577 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.822602 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.825001 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.825967 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.827767 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.828525 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.830246 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.830994 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.832950 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.833774 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.835622 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.836457 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.838049 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.838754 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.840919 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.841834 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.843896 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.844756 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:29.846700 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitting baseline...
2021-04-08 16:01:29.847556 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #4 | fitted
2021-04-08 16:01:31.323735 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.324671 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.326546 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.327399 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.329143 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.329875 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.331561 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.332281 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.334212 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.335053 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.336290 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.336858 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.338465 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.339236 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.340950 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.341621 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.343566 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.344505 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:31.346294 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitting baseline...
2021-04-08 16:01:31.347237 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #5 | fitted
2021-04-08 16:01:32.795982 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.796834 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.798343 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.799022 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.800510 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.801186 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.802443 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.803030 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.804551 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.805220 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.806379 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.806939 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.808308 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.808970 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.810013 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.810601 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.812090 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.812826 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:32.814097 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitting baseline...
2021-04-08 16:01:32.814651 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #6 | fitted
2021-04-08 16:01:34.312597 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.313463 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.315034 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.315792 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.317196 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.317909 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.319426 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.320056 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.321229 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.321766 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.322931 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.323552 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.324625 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.325126 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.326274 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.326800 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.328010 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.328578 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:34.329879 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitting baseline...
2021-04-08 16:01:34.330471 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #7 | fitted
2021-04-08 16:01:35.908753 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #8 | fitting baseline...
2021-04-08 16:01:35.909448 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #8 | fitted
2021-04-08 16:01:35.910640 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #8 | fitting baseline...
