2021-04-08 10:49:00.347166 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.347606 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.347864 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348103 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348340 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348569 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348798 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349026 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349252 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349477 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349700 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349927 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350154 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350377 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350602 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350826 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351053 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351328 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351555 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351783 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:04.647399 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #0 | fitted
2021-04-08 10:49:04.650514 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #0 | fitting baseline...
2021-04-08 10:49:04.651829 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #0 | fitted
2021-04-08 10:49:09.281836 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.283046 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.285852 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.287009 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.288836 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.289684 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.291751 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.292760 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.294990 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.296193 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.298867 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.299989 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.302531 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.303674 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.305790 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.306724 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.309264 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.310334 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:09.312567 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitting baseline...
2021-04-08 10:49:09.313608 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #1 | fitted
2021-04-08 10:49:10.852733 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.853737 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.856091 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.857078 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.859365 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.860312 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.862613 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.863598 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.865562 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.866389 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.868490 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.869423 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.871202 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.871966 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.873869 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.874675 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.876672 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.877519 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:10.879413 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitting baseline...
2021-04-08 10:49:10.880220 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #2 | fitted
2021-04-08 10:49:12.249015 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.250021 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.252290 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.253221 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.254891 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.255631 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.257337 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.258131 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.260169 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.261025 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.263211 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.264140 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.266043 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.266832 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.268659 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.269438 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.271388 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.272231 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:12.274328 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitting baseline...
2021-04-08 10:49:12.275210 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #3 | fitted
2021-04-08 10:49:13.745515 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.746542 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.748736 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.749655 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.751624 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.752456 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.754603 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.755537 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.757559 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.758427 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.760603 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.761545 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.763120 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.763807 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.765573 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.766287 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.767968 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.768681 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:13.770409 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitting baseline...
2021-04-08 10:49:13.771149 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #4 | fitted
2021-04-08 10:49:15.249252 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.250141 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.251790 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.252510 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.254098 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.254799 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.256525 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.257248 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.258511 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.259122 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.260708 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.261371 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.262807 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.263553 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.265162 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.265913 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.267441 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.268104 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:15.269490 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitting baseline...
2021-04-08 10:49:15.270106 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #5 | fitted
2021-04-08 10:49:16.756511 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.757264 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.765426 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.766075 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.767814 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.769430 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.772841 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.774614 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.777262 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.778130 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.779872 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.780709 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.782624 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.784105 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.788606 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.790018 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.793197 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.794625 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:16.797188 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitting baseline...
2021-04-08 10:49:16.798394 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #6 | fitted
2021-04-08 10:49:18.396344 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.397031 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.398343 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.398991 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.400510 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.401164 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.402654 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.403319 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.404618 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.405225 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.406394 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.406927 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.408314 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.408996 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.410240 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.410811 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.412026 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.412590 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:18.414014 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitting baseline...
2021-04-08 10:49:18.414654 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #7 | fitted
2021-04-08 10:49:20.033064 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.033893 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.035327 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.036005 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.037443 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.038079 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.039341 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.039938 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.041153 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.041700 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.042862 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.043453 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.044723 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.045302 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.046427 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.046957 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.048211 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.048785 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:20.050102 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitting baseline...
2021-04-08 10:49:20.050686 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #8 | fitted
2021-04-08 10:49:21.566929 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #9 | fitting baseline...
2021-04-08 10:49:21.567693 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #9 | fitted
